prompt_id,prompt,category,domain,word_count,unique_words,avg_word_length,clip_token_count,clip_max_length,padding_tokens,embedding_norm,emb_dim_1,emb_dim_2,emb_dim_3,emb_dim_4,emb_dim_5,emb_dim_6,emb_dim_7,emb_dim_8,emb_dim_9,emb_dim_10,emb_dim_11,emb_dim_12,emb_dim_13,emb_dim_14,emb_dim_15,emb_dim_16
1,"a red rose in full bloom, macro photography",floral,nature,8,8,4.5,10,77,67,1.0,-0.0566,-0.0679,-0.0437,0.2757,-0.0501,-0.5881,0.1305,-0.105,-0.0852,0.0455,0.0912,0.457,0.2579,0.0434,-0.29,-0.3985
2,a field of sunflowers at golden hour,floral,nature,7,7,4.29,9,77,68,1.0,0.0778,0.4142,0.0132,-0.0336,0.168,-0.4592,-0.0987,0.1549,0.2759,-0.076,0.119,0.0784,0.2472,-0.3517,0.1795,-0.4785
3,a futuristic robot playing chess,sci-fi,object,5,5,5.6,7,77,70,1.0,-0.6893,-0.1597,-0.2409,0.2305,0.1748,-0.3207,0.2229,-0.2637,-0.0227,-0.0773,0.0301,0.2154,0.168,0.0921,0.171,0.1259
4,an oil painting of a stormy sea,landscape,art,7,7,3.57,9,77,68,1.0,-0.1535,-0.1756,-0.115,0.1222,-0.0612,0.5717,-0.2005,-0.269,0.1881,0.348,0.1238,0.2046,0.3491,-0.023,-0.3483,-0.1302
5,a cartoon cat wearing glasses reading a book,character,art,8,7,4.62,10,77,67,1.0,0.2646,-0.401,0.0093,0.0703,-0.0876,0.201,0.1613,0.6447,0.1722,-0.1693,-0.156,-0.231,0.2645,-0.1574,-0.0195,0.2081
6,"portrait of a wise elderly woman, oil painting",portrait,art,8,8,4.88,10,77,67,1.0,-0.216,-0.0877,-0.5497,-0.3231,-0.1695,0.1241,0.3563,-0.0055,0.078,0.0501,0.3238,0.2667,0.0817,-0.3018,0.2697,0.1138
7,cyberpunk cityscape at night with neon lights,urban,sci-fi,7,7,5.57,9,77,68,1.0,0.2779,-0.0068,0.4424,-0.0813,0.3608,0.0261,-0.1169,-0.2556,-0.0342,0.3224,0.1849,0.156,-0.5381,0.161,0.1259,-0.1246
8,"a serene mountain lake at sunrise, photorealistic",landscape,nature,7,7,6.14,9,77,68,1.0,-0.1569,-0.0006,0.4314,-0.2639,-0.107,0.3406,-0.1116,-0.0911,0.0245,-0.3104,0.055,-0.3025,0.2214,0.0008,0.571,0.0702
9,"medieval castle on a foggy hill, dramatic lighting",architecture,art,8,8,5.38,10,77,67,1.0001,0.3074,-0.2934,-0.0275,0.0727,0.393,-0.3784,0.223,0.1331,0.3452,0.1604,0.0117,-0.1174,-0.281,0.044,-0.0432,0.4548
10,"fresh sushi platter with wasabi, food photography",food,object,7,7,6.14,9,77,68,1.0,-0.1915,0.1004,-0.4918,-0.1239,0.0819,0.2583,0.4539,-0.0138,-0.3502,0.1435,0.162,0.1541,-0.2195,0.3552,0.0275,0.2193
11,a cute puppy playing in autumn leaves,animal,nature,7,7,4.43,9,77,68,1.0,0.3341,0.1598,0.0751,0.5646,0.0639,-0.0776,0.0294,0.3889,0.0311,0.1362,0.3136,-0.1345,-0.4528,0.0785,0.0603,-0.1595
12,abstract geometric art with vibrant colors,abstract,art,6,6,6.17,8,77,69,1.0,0.3065,0.2138,-0.3501,0.1824,-0.069,-0.5219,0.1594,-0.0159,-0.2623,0.184,0.1718,-0.2032,0.1409,0.3572,-0.2508,0.134
